paper_id,year,source,likert,ranking,categories,span,best_worst_scaling,direct_assessment,post_editing
2004.tmi-1.9,2004,full_text,0,0,0,0,0,0,0
W15-4916,2015,full_text,1,0,0,0,0,0,1
2019.iwslt-1.23,2019,full_text,1,0,0,0,0,1,1
2020.tacl-1.45,2020,full_text,1,0,0,0,0,0,0
2021.emnlp-main.417,2021,full_text,1,0,0,0,0,0,0
2021.inlg-1.10,2021,full_text,0,1,0,0,0,0,0
2023.acl-long.700,2023,full_text,0,0,0,0,0,1,0
W19-7301,2019,full_text,1,0,0,0,0,0,1
2020.acl-main.148,2020,full_text,0,0,0,0,0,0,0
2024.naacl-long.303,2024,full_text,0,0,1,0,0,0,0
2021.triton-1.5,2021,full_text,0,0,0,0,0,0,1
2021.motra-1.10,2021,full_text,0,0,0,0,0,0,1
D19-1220,2019,full_text,0,1,0,0,0,0,0
2025.naacl-long.140,2025,full_text,0,0,0,0,0,0,1
2013.mtsummit-papers.7,2013,full_text,0,1,0,0,0,0,0
2010.eamt-1.14,2010,full_text,0,0,0,0,0,0,1
2023.ijcnlp-main.69,2023,full_text,0,1,0,0,0,1,0
2023.inlg-main.6,2023,full_text,1,1,0,0,0,0,0
2024.tacl-1.3,2024,full_text,1,1,0,0,0,0,0
2025.acl-long.1569,2025,full_text,0,0,0,1,0,0,1
2007.tmi-papers.8,2007,full_text,1,0,0,0,0,0,0
P13-2067,2013,full_text,0,0,0,0,0,0,0
2024.emnlp-main.1066,2024,full_text,0,0,0,0,0,0,0
2024.emnlp-main.1102,2024,full_text,0,0,0,1,0,0,0
2021.mtsummit-research.6,2021,full_text,1,0,0,0,0,0,0
N10-1031,2010,full_text,0,0,0,0,0,0,1
2012.iwslt-papers.19,2012,full_text,0,0,0,0,0,0,1
2024.naacl-long.334,2024,full_text,1,0,0,1,0,1,0
2013.mtsummit-wptp.5,2013,full_text,1,0,0,0,0,0,1
2025.naacl-long.405,2025,full_text,0,0,0,1,0,0,0
2025.emnlp-main.217,2025,full_text,0,1,0,1,0,1,0
2022.naacl-main.254,2022,full_text,1,0,0,0,0,0,0
2024.emnlp-main.802,2024,full_text,1,0,0,1,0,1,0
2021.humeval-1.5,2021,full_text,1,0,1,1,0,1,1
D18-1085,2018,full_text,0,0,0,0,0,0,0
2020.lrec-1.224,2020,full_text,0,0,1,0,0,0,0
2020.emnlp-main.736,2020,full_text,1,0,0,0,0,0,0
2023.acl-long.859,2023,full_text,0,0,0,1,0,0,0
W19-6708,2019,full_text,0,0,0,0,0,0,1
2022.emnlp-main.288,2022,full_text,0,0,1,0,0,0,1
2022.emnlp-main.532,2022,full_text,1,0,0,0,0,0,1
2021.tacl-1.75,2021,full_text,0,0,1,0,0,0,0
2017.mtsummit-papers.5,2017,full_text,1,0,0,1,0,0,1
2022.acl-long.93,2022,full_text,0,1,1,0,0,0,0
K19-1076,2019,full_text,0,0,0,0,0,0,0
2023.acl-long.835,2023,full_text,1,0,1,0,0,0,0
2024.tacl-1.24,2024,full_text,1,0,0,0,0,0,0
2020.emnlp-main.625,2020,full_text,1,0,0,0,0,0,0
2021.emnlp-main.499,2021,full_text,1,0,0,0,0,0,0
2025.ijcnlp-srw.19,2025,full_text,0,0,0,1,0,0,1
2002.eamt-1.11,2002,full_text,0,0,0,0,0,0,1
2017.mtsummit-papers.22,2017,full_text,0,0,0,0,0,0,1
2024.acl-long.265,2024,full_text,0,1,0,0,0,0,0
W07-0411,2007,full_text,1,0,0,0,0,0,1
2020.emnlp-main.177,2020,full_text,0,0,0,0,0,0,1
2021.naacl-main.91,2021,full_text,0,1,0,0,0,0,0
2023.acl-short.94,2023,full_text,0,0,0,1,0,0,0
2021.tacl-1.26,2021,full_text,1,0,0,0,0,0,0
2023.acl-long.786,2023,full_text,1,0,0,0,0,0,0
2022.emnlp-main.672,2022,full_text,0,1,0,0,0,0,1
J12-4004,2012,full_text,0,0,0,0,0,0,0
W14-3346,2014,full_text,0,1,0,0,0,0,0
2010.amta-papers.3,2010,full_text,0,1,0,0,0,0,1
2009.mtsummit-papers.3,2009,full_text,1,0,0,0,0,1,0
2023.acl-long.549,2023,full_text,0,1,0,0,0,0,0
2010.amta-papers.27,2010,full_text,0,0,0,0,0,0,1
2020.aacl-main.1,2020,full_text,0,0,0,0,0,0,1
2014.amta-wptp.2,2014,full_text,0,0,0,0,0,0,1
D10-1092,2010,full_text,1,0,0,0,0,0,0
2015.mtsummit-papers.15,2015,full_text,0,0,0,0,0,0,1
2022.emnlp-main.654,2022,full_text,0,0,1,0,0,0,0
2013.tc-1.6,2013,full_text,0,0,0,1,0,0,1
2020.acl-main.173,2020,full_text,0,1,0,0,0,0,0
2023.emnlp-main.852,2023,full_text,1,0,0,0,0,0,0
2025.emnlp-main.5,2025,full_text,1,0,0,0,0,0,0
2021.inlg-1.45,2021,full_text,0,0,0,0,0,0,0
2024.emnlp-industry.86,2024,full_text,0,1,0,0,0,0,0
2024.naacl-long.441,2024,full_text,0,1,0,0,0,0,0
2021.wmt-1.112,2021,full_text,0,0,0,1,0,1,1
2025.ijcnlp-long.97,2025,full_text,0,1,0,0,0,0,0
2021.findings-acl.71,2021,full_text,0,0,0,0,0,1,0
2022.acl-long.387,2022,full_text,0,0,0,0,0,0,0
2024.emnlp-main.803,2024,full_text,0,1,0,0,0,1,0
W14-3335,2014,full_text,1,0,0,0,0,0,0
2024.eacl-long.96,2024,full_text,0,1,0,0,0,0,0
2016.amta-researchers.2,2016,full_text,0,1,0,1,0,0,1
2025.ijcnlp-long.163,2025,full_text,0,0,0,1,0,0,0
2023.acl-long.441,2023,full_text,1,0,1,0,0,0,0
2021.emnlp-main.475,2021,full_text,1,0,1,0,0,1,0
2024.emnlp-industry.18,2024,full_text,1,0,1,0,0,0,0
Q16-1029,2016,full_text,1,0,0,0,0,0,0
2021.emnlp-main.531,2021,full_text,1,0,0,0,0,0,0
2021.acl-long.500,2021,full_text,1,0,0,0,0,0,0
2024.acl-short.9,2024,full_text,0,0,0,1,0,1,0
2020.coling-main.443,2020,full_text,0,0,1,1,0,0,1
2021.emnlp-main.674,2021,full_text,0,0,0,0,0,1,0
P18-3003,2018,full_text,1,0,0,0,0,0,0
2021.inlg-1.44,2021,full_text,1,0,0,0,0,0,0
2018.iwslt-1.9,2018,full_text,0,0,0,0,0,1,1
2020.semeval-1.46,2020,full_text,0,1,0,0,0,0,0
2023.emnlp-main.543,2023,full_text,1,0,0,0,0,0,0
W14-3345,2014,full_text,0,1,0,0,0,0,0
2025.naacl-long.592,2025,full_text,0,0,0,1,0,0,0
2023.acl-long.716,2023,full_text,0,0,0,0,0,0,0
2024.emnlp-industry.23,2024,full_text,0,0,0,0,0,0,0
2024.emnlp-main.1002,2024,full_text,0,0,0,0,0,0,1
2023.acl-long.504,2023,full_text,1,0,0,0,0,1,0
2021.emnlp-main.416,2021,full_text,0,0,0,0,0,0,0
2023.emnlp-main.1036,2023,full_text,0,0,1,0,0,0,1
2025.emnlp-main.656,2025,full_text,0,0,0,1,0,1,0
N13-1020,2013,full_text,0,0,0,0,0,0,0
2021.emnlp-main.701,2021,full_text,0,1,0,0,0,1,1
2005.mtsummit-papers.31,2005,full_text,0,0,0,0,0,0,0
2015.mtsummit-wptp.3,2015,full_text,0,0,0,0,0,0,1
2023.ijcnlp-main.63,2023,full_text,1,1,0,0,0,0,0
2024.eacl-long.11,2024,full_text,1,1,0,0,0,0,0
2021.findings-acl.135,2021,full_text,0,0,0,0,0,0,0
N07-1029,2007,full_text,0,0,0,0,0,0,1
J12-3007,2012,full_text,0,0,0,0,0,0,0
2011.mtsummit-papers.35,2011,full_text,0,0,0,0,0,0,1
N07-1064,2007,full_text,0,0,0,0,0,0,1
D14-1130,2014,full_text,0,1,0,0,0,0,1
2023.emnlp-main.153,2023,full_text,1,0,0,0,0,0,0
C12-1177,2012,full_text,0,0,0,0,0,0,0
2022.naacl-main.150,2022,full_text,0,0,0,0,0,0,0
2020.findings-emnlp.9,2020,full_text,1,0,0,0,0,0,1
2020.findings-emnlp.82,2020,full_text,0,0,0,0,0,1,0
2023.emnlp-main.519,2023,full_text,1,1,0,0,0,0,0
2020.eamt-1.46,2020,full_text,0,0,0,1,0,0,1
2005.eamt-1.15,2005,full_text,1,0,0,0,0,0,1
W17-4770,2017,full_text,0,1,0,0,0,1,0
2025.naacl-long.327,2025,full_text,1,1,0,0,0,0,0
E14-1042,2014,full_text,0,1,0,0,0,0,1
2022.acl-long.531,2022,full_text,0,0,0,1,0,0,0
2021.emnlp-main.577,2021,full_text,0,0,0,0,0,0,1
2021.acl-long.224,2021,full_text,0,0,1,1,0,0,1
2023.emnlp-main.798,2023,full_text,0,0,0,1,0,1,0
2025.emnlp-main.907,2025,full_text,0,1,0,0,0,0,0
W15-4909,2015,full_text,0,0,1,1,0,0,1
W05-0908,2005,full_text,0,1,0,0,0,0,0
W18-6532,2018,full_text,1,0,0,0,0,0,0
2024.inlg-main.27,2024,full_text,1,0,0,0,0,0,0
2020.inlg-1.19,2020,full_text,1,1,0,0,0,0,0
2024.acl-long.749,2024,full_text,0,0,0,0,0,1,0
2021.naacl-main.346,2021,full_text,0,0,0,0,0,0,0
D14-1172,2014,full_text,1,0,0,1,0,0,1
2023.emnlp-main.676,2023,full_text,1,0,0,0,0,0,0
2020.emnlp-main.739,2020,full_text,1,1,0,0,0,0,0
2024.naacl-long.148,2024,full_text,0,0,0,0,0,0,1
2021.emnlp-main.588,2021,full_text,0,0,0,0,0,0,0
2014.eamt-1.21,2014,full_text,0,0,0,0,0,0,1
2022.socialnlp-1.1,2022,full_text,0,0,0,0,0,0,0
2023.cl-4.2,2023,full_text,1,0,0,0,0,0,0
E06-1031,2006,full_text,0,0,0,0,0,0,0
2021.acl-srw.7,2021,full_text,0,0,0,0,0,0,0
2021.acl-short.5,2021,full_text,0,1,0,0,0,0,0
2025.emnlp-main.1744,2025,full_text,1,0,1,1,0,0,0
2024.tacl-1.5,2024,full_text,1,0,0,0,0,0,0
2024.acl-long.826,2024,full_text,0,0,0,1,0,0,0
2013.mtsummit-papers.9,2013,full_text,0,1,0,0,0,0,0
2023.acl-long.76,2023,full_text,1,0,0,0,0,0,0
Y09-1007,2009,full_text,0,1,0,0,0,0,0
2021.tacl-1.56,2021,full_text,0,0,0,0,1,0,0
2020.coling-main.395,2020,full_text,0,1,0,0,0,0,1
2025.acl-long.1428,2025,full_text,0,0,0,0,0,0,1
2020.findings-emnlp.197,2020,full_text,0,0,0,0,0,0,1
W16-3420,2016,full_text,0,0,1,0,0,0,1
Q18-1027,2018,full_text,1,1,0,0,0,0,0
W19-5204,2019,full_text,1,1,0,0,0,0,1
2021.ranlp-1.96,2021,full_text,1,0,0,0,0,0,0
2020.eamt-1.47,2020,full_text,1,1,0,1,0,0,1
2024.emnlp-main.273,2024,full_text,0,1,0,0,0,0,0
2021.naacl-main.393,2021,full_text,0,1,0,0,0,0,0
2025.naacl-long.253,2025,full_text,0,0,0,0,0,0,0
2020.acl-main.457,2020,full_text,1,0,0,0,0,0,0
2024.emnlp-main.634,2024,full_text,1,0,1,0,0,0,1
2023.cl-2.3,2023,full_text,0,0,0,1,0,0,1
2024.acl-long.836,2024,full_text,0,0,1,1,0,0,0
2017.mtsummit-commercial.10,2017,full_text,0,0,0,0,0,0,1
P14-1081,2014,full_text,0,0,0,0,0,0,1
2025.inlg-main.6,2025,full_text,1,1,0,0,0,0,0
E17-1020,2017,full_text,0,1,0,0,0,0,1
2008.eamt-1.21,2008,full_text,0,0,0,0,0,0,1
W10-4355,2010,full_text,0,0,0,0,0,0,0
P07-1111,2007,full_text,1,0,0,0,0,0,0
N18-1012,2018,full_text,1,0,0,0,0,0,0
2013.mtsummit-wptp.6,2013,full_text,1,0,0,0,0,0,1
W06-1610,2006,full_text,1,1,0,0,0,0,0
W05-0904,2005,full_text,1,0,0,0,0,0,0
2020.eamt-1.43,2020,full_text,0,0,0,1,0,0,1
W17-4802,2017,full_text,0,0,0,0,0,0,0
2014.tc-1.8,2014,full_text,1,0,1,0,0,0,1
W14-7002,2014,full_text,0,1,0,0,0,0,1
2023.emnlp-main.873,2023,full_text,0,0,0,0,0,0,1
2025.acl-long.1449,2025,full_text,1,1,0,0,0,0,0
W18-2706,2018,full_text,0,0,0,0,0,0,0
2025.naacl-long.526,2025,full_text,0,0,0,0,0,0,0
E14-1047,2014,full_text,1,1,0,0,0,0,1
N10-1057,2010,full_text,0,0,0,0,0,0,1
2020.lrec-1.825,2020,full_text,0,0,0,0,0,0,0
2021.acl-long.211,2021,full_text,1,0,0,0,0,0,0
P19-1609,2019,full_text,0,0,0,0,0,0,1
2022.emnlp-main.683,2022,full_text,0,0,0,0,0,0,0
2025.emnlp-main.161,2025,full_text,0,0,0,0,0,0,0
2020.acl-main.452,2020,full_text,0,1,0,0,0,0,0
W19-5209,2019,full_text,0,0,0,1,0,0,1
W19-8633,2019,full_text,0,0,0,0,0,0,0
2005.mtsummit-papers.16,2005,full_text,0,0,0,0,0,0,0
2021.findings-acl.432,2021,full_text,0,0,0,0,0,0,0
